Filename,Instrument,Length
8986cced.wav,Flute,7.06
9f522cda.wav,Flute,5.32
35e97db3.wav,Flute,2.38
6b27a847.wav,Flute,10.5
3707da71.wav,Flute,8.86
85d6a7d2.wav,Flute,8.34
d14f5df1.wav,Flute,14.14
6a037ddf.wav,Flute,6.0
562d93f5.wav,Flute,8.04
b0d9849d.wav,Flute,9.62
4bcc8a77.wav,Flute,3.0
b4b2b68d.wav,Flute,9.62
c683f28f.wav,Flute,10.74
fe76c972.wav,Flute,9.12
ca8653d2.wav,Flute,8.64
3eaddda8.wav,Flute,7.96
55d52a69.wav,Flute,6.5
dc6676ff.wav,Flute,4.0
07db7f16.wav,Flute,6.72
af227d6f.wav,Flute,8.5
6ef82473.wav,Flute,13.9
84f5b84b.wav,Flute,10.24
5d73ee6f.wav,Flute,8.6
1b93aeba.wav,Flute,3.5
9f6eac9c.wav,Flute,10.04
f5e20dce.wav,Flute,8.8
5d040c3b.wav,Flute,8.38
61c914b1.wav,Flute,7.66
18865530.wav,Flute,5.08
fa32109e.wav,Flute,10.38
565f3ee2.wav,Bass_drum,1.56
ce3f3400.wav,Bass_drum,1.62
921eee9d.wav,Bass_drum,1.3
7d11b3b4.wav,Bass_drum,2.0
f8a99b37.wav,Bass_drum,2.08
bea51ca5.wav,Bass_drum,2.0
52e54bdd.wav,Bass_drum,2.44
809ea09e.wav,Bass_drum,2.08
01c2f88b.wav,Bass_drum,2.08
4ba2b70e.wav,Bass_drum,1.34
7dda9dc2.wav,Bass_drum,1.78
f26131d8.wav,Bass_drum,1.64
ff11628d.wav,Bass_drum,2.08
0ddb4bdf.wav,Bass_drum,2.08
6d21ad67.wav,Bass_drum,2.9
aa9ae956.wav,Bass_drum,2.08
6a96272b.wav,Bass_drum,2.0
3a9085ca.wav,Bass_drum,1.34
cdfc8967.wav,Bass_drum,1.0
9adffd44.wav,Bass_drum,5.0
63e0ab2c.wav,Bass_drum,2.08
ca3f3698.wav,Bass_drum,1.0
9a4bfb69.wav,Bass_drum,1.88
8b6a16de.wav,Bass_drum,1.58
c153f347.wav,Bass_drum,1.86
c11bacda.wav,Bass_drum,1.02
ce75b5ce.wav,Bass_drum,1.34
bab98261.wav,Bass_drum,2.0
03fc1f96.wav,Bass_drum,1.18
88780eac.wav,Bass_drum,3.78
f0dfe343.wav,Hi_hat,3.14
3a3d0279.wav,Hi_hat,1.68
d6854eb4.wav,Hi_hat,5.6
99c96a07.wav,Hi_hat,1.72
078f7ac0.wav,Hi_hat,3.14
3aafb6ad.wav,Hi_hat,4.18
da4b0379.wav,Hi_hat,1.68
5ec7ad26.wav,Hi_hat,4.18
b31ed1fb.wav,Hi_hat,4.18
8cd809d3.wav,Hi_hat,4.18
c53a217e.wav,Hi_hat,3.14
34a90030.wav,Hi_hat,3.14
3d3439f1.wav,Hi_hat,1.68
493c247b.wav,Hi_hat,3.14
e897db78.wav,Hi_hat,4.18
06c48eab.wav,Hi_hat,4.18
2503aaa1.wav,Hi_hat,3.14
a1b369d7.wav,Hi_hat,4.18
aed9d22f.wav,Hi_hat,3.14
52300f9b.wav,Hi_hat,3.14
a7964699.wav,Hi_hat,4.18
41897c32.wav,Hi_hat,4.18
2032be87.wav,Hi_hat,3.14
da3f8050.wav,Hi_hat,3.14
468f9c4c.wav,Hi_hat,6.56
a090c45a.wav,Hi_hat,1.68
09a1cfd7.wav,Hi_hat,1.68
612702c3.wav,Hi_hat,3.14
73677128.wav,Hi_hat,3.14
0ed06544.wav,Hi_hat,3.14
b73c3595.wav,Violin_or_fiddle,2.72
c8c117dc.wav,Violin_or_fiddle,1.34
e3f479f3.wav,Violin_or_fiddle,15.24
6eb59008.wav,Violin_or_fiddle,1.46
2424ad60.wav,Violin_or_fiddle,4.5
2cc8683d.wav,Violin_or_fiddle,6.34
642aba58.wav,Violin_or_fiddle,1.3
56e79c6f.wav,Violin_or_fiddle,16.68
7eb9dac0.wav,Violin_or_fiddle,7.64
aab28420.wav,Violin_or_fiddle,2.68
848faca3.wav,Violin_or_fiddle,1.74
2e4a9850.wav,Violin_or_fiddle,1.06
b38409bb.wav,Violin_or_fiddle,1.04
fec00143.wav,Violin_or_fiddle,6.28
d914225a.wav,Violin_or_fiddle,4.02
ba648ac1.wav,Violin_or_fiddle,1.62
d84c8c43.wav,Violin_or_fiddle,3.9
c9fb642d.wav,Violin_or_fiddle,1.76
cdeece57.wav,Violin_or_fiddle,3.52
c6865306.wav,Violin_or_fiddle,19.28
0e7cd4eb.wav,Violin_or_fiddle,6.08
cdc5fe8e.wav,Violin_or_fiddle,1.5
8d7d7dba.wav,Violin_or_fiddle,6.34
cfb9c5fd.wav,Violin_or_fiddle,3.22
7b6a119e.wav,Violin_or_fiddle,1.72
1b24c166.wav,Violin_or_fiddle,3.5
1148986e.wav,Violin_or_fiddle,1.94
68589f79.wav,Violin_or_fiddle,3.0
d6144e01.wav,Violin_or_fiddle,2.96
21346775.wav,Violin_or_fiddle,1.52
f8d96888.wav,Saxophone,7.6
3a80061f.wav,Saxophone,8.12
9c0838c1.wav,Saxophone,9.78
c1948f24.wav,Saxophone,8.28
b83049f4.wav,Saxophone,6.66
5f0dc8e4.wav,Saxophone,5.0
8fa096bf.wav,Saxophone,3.7
ac097834.wav,Saxophone,2.82
4345851e.wav,Saxophone,11.24
ab465bf9.wav,Saxophone,15.4
36d20ab5.wav,Saxophone,4.9
b8c0a88a.wav,Saxophone,5.08
b120dc90.wav,Saxophone,3.74
c1c3c8b9.wav,Saxophone,13.58
c685f05f.wav,Saxophone,1.54
d94c94f0.wav,Saxophone,3.74
25f26095.wav,Saxophone,2.04
78a86075.wav,Saxophone,5.9
f0d315bc.wav,Saxophone,4.42
37cebbd4.wav,Saxophone,6.16
96dad435.wav,Saxophone,10.02
ec6afeb6.wav,Saxophone,11.88
2f9c5f62.wav,Saxophone,5.0
c40632d7.wav,Saxophone,11.3
9cd05a2b.wav,Saxophone,15.22
dba6817d.wav,Saxophone,4.34
7352e28f.wav,Saxophone,6.24
d6665734.wav,Saxophone,10.5
5d4f8187.wav,Saxophone,5.38
5388d14d.wav,Saxophone,4.14
9f84ea5a.wav,Snare_drum,1.88
1c9a423f.wav,Snare_drum,1.46
229be2be.wav,Snare_drum,5.98
